Название,"Фото (ссылка)",Цена,"Тип компонента: (protein, protein-add, base, filler, topping, sauce, crunch)","Название компонента: (протеин, протеин-добавка, основа, наполнитель, топпинг, соус, хруст)","Заполняется для типа протеин. Поке с ..."
Лосось-тунец,1,410,protein,протеин,"с лососем и тунцом"
"Морской микс",1,410,protein,протеин,"с морским миксом"
Кальмар,1,360,protein,протеин,"c кальмаром"
"Коктейльные креветки",1,380,protein,протеин,"c коктельными креветками"
Краб,1,350,protein,протеин,"с крабом"
Креветка,1,420,protein,протеин,"с креветкой"
Курица,1,360,protein,протеин,"с курицей"
Лосось,1,410,protein,протеин,"с лососем"
"Морской гребешок",1,450,protein,протеин,"с морским гребешком"
Тофу,1,350,protein,протеин,"с тофу"
Тунец,1,380,protein,протеин,"с тунцом"
Угорь,1,490,protein,протеин,"с угрем"
Свинина,1,360,protein,протеин,"со свининой"
Телятина,1,400,protein,протеин,"с телятиной"
Кальмар,1,180,protein-add,протеин-добавка,
"Коктейльные креветки",1,190,protein-add,протеин-добавка,
Краб,1,175,protein-add,протеин-добавка,
Креветка,1,210,protein-add,протеин-добавка,
Курица,1,180,protein-add,протеин-добавка,
Лосось,1,205,protein-add,протеин-добавка,
"Микс лосось-тунец",1,205,protein-add,протеин-добавка,
"Морской гребешок",1,225,protein-add,протеин-добавка,
"Морской микс",1,205,protein-add,протеин-добавка,
Свинина,1,180,protein-add,протеин-добавка,
Тофу,1,175,protein-add,протеин-добавка,
Тунец,1,190,protein-add,протеин-добавка,
Угорь,1,245,protein-add,протеин-добавка,
Айсберг,2,,base,основа,
Соба,2,,base,основа,
"Киноа + рис",2,,base,основа,
Киноа,2,,base,основа,
Удон,2,,base,основа,
Рис,2,,base,основа,
"Азиатская морковь",3,40,filler,наполнитель,
"Болгарский перец",3,40,filler,наполнитель,
"Салат Айсберг",3,40,filler,наполнитель,
"Картофельные дольки",3,40,filler,наполнитель,
Кимчи,3,40,filler,наполнитель,
Чука,3,40,filler,наполнитель,
Тамаго,3,40,filler,наполнитель,
"Соевые ростки",3,40,filler,наполнитель,
Корнишоны,3,40,filler,наполнитель,
Баклажан,3,40,filler,наполнитель,
"Спаржа фучжу",3,40,filler,наполнитель,
"Свежий огурчик",3,40,filler,наполнитель,
"Грибы Муэр",3,40,filler,наполнитель,
Такуан,3,40,filler,наполнитель,
"Томаты черри",3,40,filler,наполнитель,
Кукуруза,3,40,filler,наполнитель,
"Микс салат",3,40,filler,наполнитель,
Брокколи,3,40,filler,наполнитель,
Шиитаке,3,40,filler,наполнитель,
"Битые огурцы",3,40,filler,наполнитель,
Манго,4,50,topping,топпинг,
"Сыр Пармезан",4,50,topping,топпинг,
Авокадо,4,50,topping,топпинг,
"Сыр Фета",4,50,topping,топпинг,
Маслины,4,50,topping,топпинг,
"Сливочный сыр",4,50,topping,топпинг,
Бобы,4,50,topping,топпинг,
Ананас,4,50,topping,топпинг,
"Драгон фрукт",4,50,topping,топпинг,
"Сладкий чили",5,50,sauce,соус,
Том-ям,5,50,sauce,соус,
Японский,5,50,sauce,соус,
Спайси,5,50,sauce,соус,
Цезарь,5,50,sauce,соус,
Медово-горчичный,5,50,sauce,соус,
Терияки,5,50,sauce,соус,
Манго-маракуйя,5,50,sauce,соус,
Карри,5,50,sauce,соус,
Нори,6,25,crunch,хруст,
"Миндальный лепестки",6,25,crunch,хруст,
"Жареный лук",6,25,crunch,хруст,
Кешью,6,25,crunch,хруст,
Начос,6,25,crunch,хруст,
Арахис,6,25,crunch,хруст,
"Тыквенные семечки",6,25,crunch,хруст,
Кунжут,6,25,crunch,хруст,
"Кукуруза жареная",6,25,crunch,хруст,
"Стружка тунца",6,25,crunch,хруст,
